date,euro,japan,canada,uk,mexico,india,switzerland,thailand,denmark,australia
3/20/2006,0.23805,0.31016,0.34462,0.022773,0.41037,-0.022596,0.13951,-0.61824,0.25469,0.93703
3/21/2006,0.73411,0.83948,0.17187,0.59391,0.50135,0.090355,0.97885,0.3611,0.69868,0.87604
3/22/2006,-0.13237,-0.43599,0.034338,-0.13737,0.67378,0.15792,-0.10744,0.20576,-0.11827,-0.61264
3/23/2006,0.92197,0.75111,0.051484,0.66571,-0.14268,0.15768,1.0312,0.35907,0.89568,0.82236
3/24/2006,-0.41636,-0.08507,0.15429,-0.34489,0.023027,0.13495,-0.457,0,-0.39118,0.53326
3/27/2006,0.15801,-0.75175,0.085616,-0.24644,0.74322,0.20209,-0.053453,-0.56483,0.16599,0.72019
3/28/2006,-0.52297,0.5217,0.094094,-0.15443,0.027421,-0.20209,-0.66675,0.18006,-0.52147,-0.42427
3/29/2006,0.39821,0.48505,0.22205,0.80912,0.050252,0.089867,0.65911,0,0.40063,0.39593
3/30/2006,-0.84431,-0.33162,-0.80514,-0.52868,-0.16456,-0.17982,-0.78221,-0.20581,-0.84513,-1.1551
3/31/2006,-0.057682,0.059602,0.36055,0.31572,-0.28863,0.067469,0.27677,0.02575,-0.061803,-0.34953
4/3/2006,0.12365,0.28899,0.41047,0.023,-0.38614,-0.20254,0.14577,-0.07727,0.13169,-0.16734
4/4/2006,-1.0992,-0.32305,-0.47904,-0.97288,0.096674,0.42711,-1.1256,-0.82795,-1.0863,-0.36161
4/5/2006,-0.11415,0.12764,-0.3694,0.35372,0.67411,-0.35955,-0.31839,-0.70395,-0.12984,-0.82954
4/6/2006,0.45737,0.11049,-0.75159,-0.039999,1.258,0.15746,0.43461,0.026161,0.46271,-0.71341
4/7/2006,0.87976,0.49994,-0.59141,0.5557,0.73297,-0.067454,0.89431,-0.28815,0.89634,0.49335
4/10/2006,0.14876,0.2954,0.017444,0.01149,-0.65176,0.44883,0.10739,-0.36794,0.11999,-0.041206
4/11/2006,-0.28081,-0.042146,-0.078524,-0.35559,-0.13989,0.044773,-0.3533,0.052645,-0.29861,-0.61606
4/12/2006,0.14856,-0.1181,0.19184,-0.23445,-0.17175,0.91345,-0.015389,0.15777,0.15266,0.16391
4/13/2006,0,-0.042214,0.30444,-0.11987,0.42522,-0.088751,-0.1232,0,0.0097366,0.41096
4/14/2006,0.00826,0.19404,-0.0086855,0.10845,-0.045956,-0.066615,0.084716,-0.026278,0.01947,-0.054892
4/17/2006,-1.3212,-0.82089,-0.53124,-1.1696,-0.10822,-0.11112,-1.6611,-0.26316,-1.3195,-1.173
4/18/2006,-0.057047,0.059466,-0.27106,-0.25932,-0.86541,0.24431,-0.13315,-0.26385,-0.057554,-0.1355
4/19/2006,-0.57679,-0.14448,-0.47393,-0.746,0.095518,-0.1554,-0.42413,-0.18511,-0.59722,-1.0775
4/20/2006,0.15403,-0.076573,0.16701,0.52667,0.26334,0.11102,0.55728,0.052924,0.16699,1.1994
4/21/2006,-0.11352,-0.49488,-0.12303,-0.089842,0.40274,-0.022195,-0.19587,0.026452,-0.19181,-0.91769
4/24/2006,-0.26707,-1.7081,0.0087931,-0.1234,-0.022583,-0.42265,-0.3929,-0.7433,-0.23033,0
4/25/2006,-0.31471,-0.087047,-0.49361,-0.2072,0.14444,0.044573,-0.11029,0.18634,-0.28741,-0.16107
4/26/2006,-0.41807,-0.09584,-0.4073,-0.11741,0.66983,0.35587,-0.09463,0.23908,-0.43017,-1.054
4/27/2006,-0.48822,-0.61205,-0.31991,-0.63496,-0.54361,-0.44504,-0.50621,-0.50539,-0.47566,-0.38413
4/28/2006,-0.78731,-0.20192,-0.28523,-1.1537,-0.090139,0.044593,-1.5986,0.026663,-0.82266,-0.38266
5/1/2006,0.13475,-0.6436,-0.65374,-0.36158,-0.3297,-0.20083,-0.20164,-0.29369,0.10828,-0.18421
5/2/2006,-0.29306,0.17674,-0.54958,-0.60519,-0.36711,0.11162,-0.33157,0.40027,-0.28278,-0.315
5/3/2006,0.039552,0.1588,0.027099,-0.26599,-0.43684,-0.022314,0.048591,0.37214,0.033908,-1.0429
5/4/2006,-0.35541,0.017629,-0.054205,-0.2112,0.063825,0,-0.43817,0.05305,-0.35151,-0.19434
5/5/2006,-0.38557,-0.89417,0.045173,-0.55566,-0.2053,0.089226,-0.32581,-0.23895,-0.40226,0.24623
5/8/2006,0.10215,-0.80358,0.40564,0.021522,-0.022837,-0.066912,0.15489,-0.29283,0.12972,0.12984
5/9/2006,-0.21204,-0.21538,-0.84922,-0.25795,-0.11884,0.044613,-0.43267,0.18644,-0.24251,-0.35017
5/10/2006,-0.40711,-0.68512,-0.15436,-0.085837,-0.84505,0,-0.30317,0.026606,-0.3992,-0.50365
5/11/2006,-0.43658,-0.26267,-0.14549,-1.035,0.22114,0.089166,-0.65866,0.10635,-0.39045,-0.2316
5/12/2006,-0.25638,0.20838,0.86981,-0.36553,1.711,0.022279,-0.71293,0.71495,-0.31589,0.68348
5/15/2006,0.48223,-0.25374,0.51289,0.39738,0.84689,1.0636,0.55586,0.8931,0.47776,1.3156
5/16/2006,0.070195,-0.12711,-0.26961,0.090293,-0.83332,-0.70781,0.25615,-0.57698,0.091152,-0.37951
5/17/2006,0.74396,0.48036,0.035991,-0.0053137,0.88713,-0.80232,0.49391,0.13142,0.71429,0.81312
5/18/2006,-0.57217,0.26186,0.83315,-0.30771,0.63907,1.2674,-0.45266,0.078771,-0.59232,-0.76086
5/19/2006,0.35232,0.7815,0.20498,0.65368,-0.33913,0.19865,0.4855,0.20975,0.39584,1.0906
5/22/2006,-0.78125,-0.12535,-0.33889,-0.56359,0.87228,0.15424,-1.0978,0.67868,-0.76567,0.79587
5/23/2006,0.046703,-0.24219,-0.17883,0.27608,-0.8991,-0.088106,0.28178,-0.62631,0.0086163,-0.49153
5/24/2006,0.75808,1.2938,0.4821,0.69891,1.085,0.39587,0.86524,0.88611,0.7827,0.26539
5/25/2006,-0.23507,-0.7832,-1.3991,-0.21927,-1.0403,0.39431,-0.032825,-0.62468,-0.23794,-0.78089
5/26/2006,0.29785,0.58797,0,0.82071,-0.40303,0.15292,0.66261,0.078298,0.32851,0.10553
5/30/2006,-1.0075,-0.35594,-0.69788,-1.3854,1.0223,0.69611,-1.2718,-0.4445,-1.0095,-0.55278
5/31/2006,0.27236,0.071289,0.29062,0.49525,0.27056,0.19491,0.40381,-0.23613,0.24989,1.3212
6/1/2006,0.070156,0.15132,-0.21788,0.24587,-0.053168,-0.064928,0.31204,0.078771,0.12041,0.52004
6/2/2006,-0.68387,-0.68723,-0.018179,-0.69861,0.56567,-1.1322,-0.93905,-0.078771,-0.69869,-0.40027
6/5/2006,-0.31703,0.035817,0.09086,0.16488,-0.53908,0.065667,-0.46454,0.15748,-0.34684,-0.22611
6/6/2006,0.96971,1.3869,1.2545,0.95203,0.7284,0.21858,1.0586,0.28807,1.006,1.4048
6/7/2006,0.22632,0.079432,-0.2964,0.12368,-0.37457,0.19631,0.43509,0.052288,0.23019,0
6/8/2006,1.1868,0.7646,1.038,0.86464,1.0322,0.043573,0.99438,0.44334,1.1702,-0.10773
6/9/2006,0.094922,-0.28933,-1.4527,-0.0054272,-0.52135,-0.21806,-0.064903,-0.15625,0.033913,-0.92438
6/12/2006,0.38853,0.24555,-0.72523,-0.075951,-0.0043926,-0.21853,0.18648,0.13023,0.3993,0.44103
6/13/2006,0.10333,0.77652,0.77941,0.22803,0.39894,0.21853,0.089065,0.15605,0.067521,0.77989
6/14/2006,-0.45229,-0.18268,0.39643,-0.50422,0.27962,-0.67901,-0.6903,-0.28627,-0.40242,0.16212
6/15/2006,0.11883,0.18268,0.45754,0.075741,-0.37592,0.72266,0.37417,0,0.08637,0.25723
